author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,coordinates_of_underground
real_estate_agent,11,21,1,43.6,18000000.0,Филевский парк,Береговой проезд,Фили,"(55.746763, 37.514035)"
real_estate_agent,15,17,1,38.0,11800000.0,Вешняки,аллея Жемчуговой,Новогиреево,"(55.752237, 37.814587)"
developer,4,39,1,39.6,15509395.0,Западное Дегунино,Северный ао,Селигерская,"(55.866556, 37.547117)"
real_estate_agent,7,24,1,49.0,23000000.0,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,"(55.775697, 37.485071)"
developer,2,15,1,28.3,10541750.0,Головинский,Северный ао,Коптево,"(55.839637, 37.520037)"
real_estate_agent,13,15,1,35.4,17599000.0,Даниловский, Родченко,ЗИЛ,"(55.698333, 37.648333)"
realtor,7,24,1,37.0,14350000.0,Обручевский, Обручева,Новаторская,"(55.669823, 37.52218)"
developer,8,25,1,23.9,13133050.0,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,"(55.805483, 37.553316)"
real_estate_agent,16,39,1,47.6,25000000.0,Раменки, Лобачевского,Аминьевская,"(55.697189, 37.464931)"
real_estate_agent,11,16,1,44.9,17480000.0,Басманный,Рубцовская набережная,Электрозаводская,"(55.782057, 37.7053)"
developer,2,46,1,42.5,26738605.0,Дорогомилово,Кутузовский проезд,Фили,"(55.746763, 37.514035)"
real_estate_agent,3,15,1,37.5,30000000.0,Аэропорт,Ленинградский проспект,Динамо,"(55.789704, 37.558212)"
developer,3,55,1,42.12,21551919.0,Марьина роща, 4-я Марьиной рощи,Марьина Роща,"(55.793723, 37.61618)"
real_estate_agent,11,15,1,36.7,17499000.0,Даниловский, Родченко,ЗИЛ,"(55.698333, 37.648333)"
developer,2,14,1,31.0,10750707.0,Рязанский,Рязанский проспект,Окская,"(55.718623, 37.781272)"
real_estate_agent,5,21,1,48.4,22800000.0,Щукино,Щукинская ,Щукинская,"(55.8094, 37.463241)"
developer,2,6,1,39.0,19500000.0,Хорошево-Мневники, Саляма Адиля,Народное Ополчение,"(55.775697, 37.485071)"
realtor,3,12,1,34.0,12950000.0,Коньково, Академика Арцимовича,Беляево,"(55.642357, 37.526115)"
homeowner,15,16,1,25.8,14400000.0,Проспект Вернадского,проспект Вернадского,Проспект Вернадского,"(55.676549, 37.504584)"
real_estate_agent,8,16,1,56.1,28000000.0,Таганский,переулок Большой Симоновский,Пролетарская,"(55.731546, 37.666917)"
real_estate_agent,6,22,1,50.5,29000000.0,Покровское-Стрешнево,Северо-Западный ао,Спартак,"(55.8182, 37.4352)"
realtor,4,9,1,26.8,6182125.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,2,48,1,33.9,13509421.0,Покровское-Стрешнево,Вишневая ,Тушинская,"(55.825479, 37.437024)"
realtor,1,9,1,29.8,6370000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
realtor,6,9,1,26.9,6507900.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
representative_developer,6,15,1,40.5,23981169.0,Раменки,Винницкая ,Раменки,"(55.697691, 37.498725)"
realtor,5,9,1,29.5,6688500.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
realtor,1,9,1,34.9,6854250.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
realtor,3,9,1,30.3,6825000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,11,26,1,35.0,12950000.0,Чертаново Южное,Варшавское шоссе,Лесопарковая,"(55.581656, 37.577816)"
realtor,9,9,1,35.1,7220000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,7,8,1,48.3,35114100.0,Гагаринский,м. Ленинский проспект,Ленинский проспект,"(55.70678, 37.58499)"
real_estate_agent,30,32,1,43.8,16950000.0,Бутырский, Руставели,Бутырская,"(55.813333, 37.602778)"
developer,3,29,1,40.1,13213932.0,Южнопортовый,Волгоградский проспект,Волгоградский проспект,"(55.725546, 37.685197)"
developer,8,21,1,30.0,9852729.0,Нижегородский,Автомобильный проезд,Калитники,"(55.734146, 37.701969)"
realtor,8,9,1,37.0,9215000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,14,19,1,29.0,19459000.0,Щукино, Ротмистрова,Октябрьское поле,"(55.793581, 37.493317)"
realtor,4,9,1,36.1,9120000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,20,20,1,39.09,19612821.0,Даниловский,Автозаводская ,Тульская,"(55.70961, 37.622569)"
realtor,5,9,1,36.1,9120000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
realtor,7,9,1,36.9,9215000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,8,17,1,69.3,38918880.0,Филевский парк, Василисы Кожиной,Филёвский парк,"(55.739665, 37.483902)"
realtor,9,9,1,36.5,9215000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,2,48,1,41.84,13578463.0,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,"(55.833137, 37.398967)"
realtor,4,9,1,36.0,9120000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
developer,2,10,1,38.19,15805008.0,Даниловский,Автозаводская ,Тульская,"(55.70961, 37.622569)"
realtor,9,9,1,35.9,9072500.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
realtor,7,9,1,36.3,9215000.0,Люблино, Верхние Поля,Братиславская,"(55.658817, 37.748415)"
real_estate_agent,6,12,1,41.15,13400000.0,Нагатинский затон,Коломенская ,Кленовый бульвар,"(55.674692, 37.681568)"
developer,11,29,1,30.1,12341000.0,Черемушки, Наметкина,Новые Черёмушки,"(55.670077, 37.554493)"
real_estate_agent,2,9,1,33.6,15500000.0,Мещанский,Трифоновская ,Рижская,"(55.792494, 37.636114)"
developer,11,41,1,40.2,33369885.0,Хорошевский,Ленинградский проспект,Аэропорт,"(55.800441, 37.530477)"
real_estate_agent,4,4,1,39.9,11700000.0,Южное Тушино,Окружная ,Трикотажная,"(55.833137, 37.398967)"
real_estate_agent,6,16,1,34.8,13100000.0,Дмитровский,Дмитровское шоссе,Яхромская,"(55.879904, 37.545429)"
developer,2,29,1,38.4,16698624.0,Аэропорт,Часовая ,Сокол,"(55.805564, 37.515245)"
real_estate_agent,6,14,1,27.0,14800000.0,Раменки,проспект Генерала Дорохова,Минская,"(55.723947, 37.497872)"
realtor,6,15,1,45.0,36800000.0,Беговой, 1-я Ямского Поля,Белорусская,"(55.777439, 37.582107)"
homeowner,22,24,1,42.7,19500000.0,Даниловский,Автозаводская ,ЗИЛ,"(55.698333, 37.648333)"
developer,13,30,1,33.2,9150233.0,Южное Бутово,м. Бунинская аллея,Бунинская аллея,"(55.537977, 37.515899)"
real_estate_agent,8,17,1,36.2,27000000.0,Тверской,Садовая-Триумфальная ,Маяковская,"(55.769808, 37.596192)"
real_estate_agent,5,13,1,45.2,25500000.0,Хорошево-Мневники,Жилой комплекс остров,Терехово ,"(55.748108, 37.459738)"
realtor,8,9,1,35.0,12600000.0,Коньково,Миклухо-Маклая ,Беляево,"(55.642357, 37.526115)"
real_estate_agent,6,18,1,40.9,17400000.0,Академический,Новочеремушкинская ,Профсоюзная,"(55.677671, 37.562595)"
developer,6,9,1,37.04,10800000.0,Косино-Ухтомский, Николая Старостина,Реутов,"(55.751389, 37.855833)"
real_estate_agent,16,22,1,14.3,7450000.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,"(55.663146, 37.482852)"
developer,3,16,1,36.2,20367033.0,Сокол, Зорге,Зорге,"(55.787778, 37.504444)"
real_estate_agent,2,9,1,34.1,21190000.0,Красносельский,переулок Даев,Сухаревская,"(55.772315, 37.63285)"
real_estate_agent,18,42,1,40.7,26500000.0,Хорошевский,Ленинградский проспект,Аэропорт,"(55.800441, 37.530477)"
realtor,21,25,1,33.5,11950000.0,Кунцево,№ 100 кв-л,Павшино,"(55.815175, 37.341439)"
real_estate_agent,13,22,1,17.6,8900000.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,"(55.663146, 37.482852)"
developer,10,17,1,48.2,24109249.0,Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь,"(55.796322, 37.713582)"
real_estate_agent,11,20,1,44.0,22500000.0,Левобережный,Ленинградское шоссе,Беломорская,"(55.865369, 37.475692)"
developer,13,17,1,42.83,22775707.0,Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь,"(55.796322, 37.713582)"
real_estate_agent,11,22,1,21.3,8600000.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,"(55.663146, 37.482852)"
real_estate_agent,15,22,1,19.9,8060000.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,"(55.663146, 37.482852)"
developer,30,54,1,38.34,20913013.0,Савеловский,2-я Хуторская ,Дмитровская,"(55.808056, 37.581734)"
real_estate_agent,18,21,1,46.7,17999900.0,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,"(55.775697, 37.485071)"
developer,7,34,1,42.1,20275360.0,Левобережный,Ленинградское шоссе,Беломорская,"(55.865369, 37.475692)"
real_estate_agent,6,22,1,17.3,8590000.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,"(55.663146, 37.482852)"
developer,26,75,1,47.71,25123990.0,Донской,5-й Донской проезд,Площадь Гагарина,"(55.706944, 37.585833)"
real_estate_agent,5,6,1,43.0,27999000.0,Беговой, 3-я Ямского Поля,Белорусская,"(55.777439, 37.582107)"
real_estate_agent,22,22,1,19.4,8880000.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,"(55.663146, 37.482852)"
developer,6,22,1,50.8,28646120.0,Покровское-Стрешнево,Северо-Западный ао,Спартак,"(55.8182, 37.4352)"
real_estate_agent,13,21,1,49.7,37600000.0,Басманный, Земляной Вал,Чкаловская,"(55.755951, 37.659293)"
developer,10,21,1,50.7,26326989.0,Щукино,Щукинская ,Щукинская,"(55.8094, 37.463241)"
real_estate_agent,18,48,1,42.4,19900000.0,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,"(55.775697, 37.485071)"
developer,38,57,1,45.7,20409620.0,Левобережный,Ленинградское шоссе,Беломорская,"(55.865369, 37.475692)"
real_estate_agent,2,2,1,29.3,9850000.0,Текстильщики,Грайвороновская ,Текстильщики,"(55.707725, 37.728406)"
developer,9,22,1,52.7,34233920.0,Покровское-Стрешнево,Северо-Западный ао,Спартак,"(55.8182, 37.4352)"
real_estate_agent,15,22,1,20.3,9243500.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,"(55.663146, 37.482852)"
real_estate_agent,12,23,1,46.2,21900000.0,Хорошево-Мневники,Жилой комплекс остров,Терехово ,"(55.748108, 37.459738)"
developer,5,14,1,35.58,35864640.0,Дорогомилово,1-й Можайский тупик,Киевская,"(55.743117, 37.564132)"
real_estate_agent,5,13,1,34.0,17500000.0,Даниловский,Подольское шоссе,Тульская,"(55.70961, 37.622569)"
developer,17,18,1,43.7,27387095.0,Филевский парк,Береговой проезд,Народное Ополчение,"(55.775697, 37.485071)"
real_estate_agent,4,15,1,32.1,18000000.0,Хорошевский,Ходынский бульвар,ЦСКА,"(55.786602, 37.533301)"
developer,3,22,1,32.1,16568350.0,Марьина роща,Полковая ,Савёловская,"(55.794054, 37.587163)"
real_estate_agent,15,21,1,36.5,16500000.0,Головинский,Кронштадтский бульвар,Водный стадион,"(55.838978, 37.487515)"
developer,13,36,1,44.1,33222252.0,Беговой,Ленинградский проспект,Белорусская,"(55.777439, 37.582107)"
homeowner,24,24,1,42.0,12200000.0,Северное Бутово, Грина,Бульвар Дмитрия Донского,"(55.568201, 37.576856)"
real_estate_agent,4,15,1,30.2,17500000.0,Хорошевский,Ходынский бульвар,ЦСКА,"(55.786602, 37.533301)"
real_estate_agent,7,11,1,39.8,24950000.0,Басманный, Казакова,Курская,"(55.758564, 37.659039)"
developer,13,16,1,44.9,28184044.0,Филевский парк,Береговой проезд,Народное Ополчение,"(55.775697, 37.485071)"
realtor,13,14,1,38.7,18200000.0,Таганский,переулок Ковров,Москва-Товарная,"(55.745656, 37.688306)"
real_estate_agent,8,16,1,29.2,15180000.0,Хорошево-Мневники, Нижние Мневники,Мнёвники,"(55.761148, 37.47139)"
developer,24,37,1,47.3,33950025.0,Беговой,Ленинградский проспект,Белорусская,"(55.777439, 37.582107)"
real_estate_agent,3,14,1,38.8,16500000.0,Даниловский,проспект Лихачева,ЗИЛ,"(55.698333, 37.648333)"
developer,9,18,1,42.8,23164002.0,Филевский парк,Береговой проезд,Народное Ополчение,"(55.775697, 37.485071)"
real_estate_agent,9,20,1,42.8,19500000.0,Аэропорт,Часовая ,Красный Балтиец,"(55.815478, 37.526618)"
developer,3,22,1,52.6,33506200.0,Покровское-Стрешнево,Северо-Западный ао,Спартак,"(55.8182, 37.4352)"
real_estate_agent,4,13,1,43.6,37000000.0,Пресненский, Сергея Макеева,Улица 1905 года,"(55.763944, 37.562271)"
developer,36,41,1,38.7,25513889.0,Даниловский,Дубининская ,Павелецкая,"(55.729741, 37.638693)"
realtor,2,17,1,36.0,15950000.0,Академический, Дмитрия Ульянова,Академическая,"(55.687147, 37.5723)"
