author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,lons,lats
Агент по недвижимости,2,3,1,22.8,5.85,Головинский,Солнечногорский проезд,Моссельмаш,37.526389,55.862222
Агент по недвижимости,1,7,1,21.0,6.09,Южнопортовый,6-я Кожуховская ,Кожуховская,37.68544,55.706156
Застройщик,2,23,1,20.8,6.32,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,1,5,1,30.0,6.5,Донской, Стасовой,Ленинский проспект,37.58499,55.70678
Агент по недвижимости,4,5,1,22.0,6.6,Аэропорт,2-й Амбулаторный проезд,Красный Балтиец,37.526618,55.815478
Агент по недвижимости,1,2,1,12.5,6.88,Басманный,Гороховский переулок,Курская,37.659039,55.758564
Застройщик,2,23,1,23.2,6.83,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Застройщик,4,23,1,21.9,6.84,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,5,16,1,20.3,7.0,Очаково-Матвеевское,Аминьевское шоссе,Давыдково,37.45177,55.71517
Застройщик,2,23,1,25.3,7.04,Куркино,Куркинское шоссе,Химки,37.450833,55.894444
Застройщик,6,8,1,35.28,7.21,Бибирево, Корнейчука,Алтуфьево,37.586473,55.899034
Застройщик,8,23,1,23.5,7.29,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Застройщик,3,23,1,25.9,7.36,Куркино,Куркинское шоссе,Химки,37.450833,55.894444
Агент по недвижимости,7,7,1,19.1,7.49,Марьина роща,проезд 3-й Марьиной рощи,Марьина Роща,37.61618,55.793723
Застройщик,1,8,1,36.24,7.56,Бибирево, Корнейчука,Алтуфьево,37.586473,55.899034
Застройщик,2,8,1,37.65,7.6,Бибирево, Корнейчука,Алтуфьево,37.586473,55.899034
Застройщик,1,8,1,33.99,7.62,Бибирево, Корнейчука,Алтуфьево,37.586473,55.899034
Застройщик,6,23,1,25.1,7.82,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,2,4,1,17.5,7.84,Соколиная гора,Щербаковская ,Измайлово,37.742778,55.788611
Застройщик,3,8,1,37.32,7.77,Бибирево, Корнейчука,Алтуфьево,37.586473,55.899034
Застройщик,7,23,1,25.8,7.87,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,12,16,1,38.2,7.99,Южное Бутово, Захарьинские Дворики,Щербинка,37.562191,55.510155
Агент по недвижимости,2,9,1,32.5,7.9,Гольяново,Новосибирская ,Щёлковская,37.798261,55.809962
Риэлтор,13,16,1,34.4,7.99,Выхино-Жулебино,Сормовская ,Юго-Восточная,37.817995,55.705351
Застройщик,2,23,1,29.4,8.11,Куркино,Куркинское шоссе,Химки,37.450833,55.894444
Агент по недвижимости,8,9,1,35.0,8.2,Гольяново,Хабаровская ,Щёлковская,37.798261,55.809962
Застройщик,2,23,1,33.6,8.2,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Застройщик,2,23,1,30.0,8.29,Куркино,Куркинское шоссе,Химки,37.450833,55.894444
Агент по недвижимости,10,20,1,36.8,8.39,Бирюлево Восточное,6-я Радиальная ,Царицыно,37.669612,55.620982
Агент по недвижимости,16,18,1,32.2,8.45,Останкинский,Березовая аллея,Ботанический сад,37.637811,55.844597
Агент по недвижимости,1,12,1,39.2,8.45,Ивановское,Челябинская ,Новогиреево,37.814587,55.752237
Агент по недвижимости,3,17,1,38.6,8.5,Косино-Ухтомский,Лухмановская ,Лухмановская,37.900569,55.708516
Риэлтор,9,9,1,32.7,8.6,Вешняки,Вешняковская ,Выхино,37.816788,55.715983
Застройщик,4,23,1,30.6,8.59,Куркино,Куркинское шоссе,Химки,37.450833,55.894444
Агент по недвижимости,5,5,1,32.0,8.7,Перово,Новогиреевская ,Перово,37.78422,55.75098
Агент по недвижимости,8,12,1,32.48,8.7,Молжаниновский,Северный ао,Новоподрезково,37.351667,55.936389
Застройщик,4,28,1,28.7,8.78,Отрадное,Отрадная ,Отрадное,37.605066,55.864273
Застройщик,2,23,1,29.3,8.77,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,10,10,1,18.0,8.8,Проспект Вернадского,проспект Вернадского,Проспект Вернадского,37.504584,55.676549
Застройщик,2,23,1,36.1,8.86,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Застройщик,2,23,1,28.0,8.84,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,5,25,1,34.7,8.9,Люблино,Люблинская ,Братиславская,37.748415,55.658817
Застройщик,5,28,1,32.5,9.04,Отрадное,Отрадная ,Отрадное,37.605066,55.864273
Агент по недвижимости,14,14,1,38.0,9.0,Косино-Ухтомский, Дмитриевского,Лухмановская,37.900569,55.708516
Агент по недвижимости,13,25,1,29.2,9.0,Лианозово,Илимская ,Алтуфьево,37.586473,55.899034
Застройщик,2,9,1,35.6,9.05,Южное Бутово,Варшавское шоссе,Щербинка,37.562191,55.510155
Агент по недвижимости,12,22,1,20.5,9.0,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Риэлтор,6,6,1,43.5,9.0,Чертаново Северное,Чертановская ,Чертановская,37.606065,55.640538
Застройщик,2,23,1,39.5,9.2,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,1,9,1,32.1,9.1,Кузьминки,Волгоградский проспект,Кузьминки,37.763295,55.705493
Застройщик,3,23,1,32.8,9.12,Куркино,Куркинское шоссе,Химки,37.450833,55.894444
Застройщик,6,28,1,30.6,9.18,Отрадное,Отрадная ,Отрадное,37.605066,55.864273
Застройщик,2,23,1,39.3,9.16,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,8,17,1,34.64,9.14,Молжаниновский,Северный ао,Новоподрезково,37.351667,55.936389
Застройщик,5,14,1,24.9,9.21,Молжаниновский,Ленинградское шоссе,Химки,37.450833,55.894444
Риэлтор,7,12,1,35.0,9.2,Метрогородок,Открытое шоссе,Бульвар Рокоссовского,37.732227,55.814916
Агент по недвижимости,9,9,1,30.4,9.3,Люблино,Краснодарская ,Депо,37.728056,55.674118
Агент по недвижимости,2,9,1,31.0,9.3,Соколиная гора,Измайловское шоссе,Семёновская,37.719289,55.783096
Застройщик,14,22,1,29.5,9.32,Покровское-Стрешнево,Волоколамское шоссе,Спартак,37.4352,55.8182
Застройщик,11,14,1,27.9,9.29,Молжаниновский,Ленинградское шоссе,Химки,37.450833,55.894444
Агент по недвижимости,1,12,1,39.1,9.3,Восточное Измайлово,16-я Парковая ,Первомайская,37.799364,55.794376
Владелец,5,5,1,30.8,9.25,Коптево,Коптевская ,Коптево,37.520037,55.839637
Застройщик,2,32,1,32.1,9.45,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Агент по недвижимости,8,9,1,33.2,9.4,Чертаново Северное,Сумская ,Южная,37.609047,55.622436
Застройщик,13,19,1,34.2,9.54,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Застройщик,18,19,1,32.2,9.51,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Застройщик,17,32,1,34.0,9.45,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Застройщик,4,28,1,34.4,9.46,Отрадное,Отрадная ,Отрадное,37.605066,55.864273
Агент по недвижимости,1,12,1,36.0,9.5,Южное Бутово,Южнобутовская ,Бунинская аллея,37.515899,55.537977
Агент по недвижимости,6,17,1,37.6,9.5,Марьино, Верхние Поля,Люблино,37.761639,55.676596
Агент по недвижимости,4,9,1,39.0,9.5,Косино-Ухтомский, Черное Озеро,Улица Дмитриевского,37.879045,55.710311
Агент по недвижимости,1,9,1,35.0,9.5,Южное Бутово,Бартеневская ,Бульвар Адмирала Ушакова,37.542329,55.545207
Агент по недвижимости,12,12,1,38.2,9.49,Алтуфьевский,Костромская ,Бибирево,37.603011,55.883868
Агент по недвижимости,8,22,1,33.9,9.45,Покровское-Стрешнево,Волоколамское шоссе,Спартак,37.4352,55.8182
Риэлтор,6,16,1,35.5,9.5,Можайский,Рябиновая ,Рабочий посёлок,37.417877,55.726918
Застройщик,5,23,1,34.7,9.47,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Застройщик,16,19,1,32.4,9.64,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Застройщик,2,23,1,38.3,9.56,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,7,17,1,38.0,9.6,Некрасовка,проспект Защитников Москвы,Некрасовка,37.92803,55.702967
Агент по недвижимости,8,16,1,35.0,9.6,Марьино,Белореченская ,Братиславская,37.748415,55.658817
Агент по недвижимости,7,14,1,39.0,9.6,Коньково, Бутлерова,Беляево,37.526115,55.642357
Агент по недвижимости,13,16,1,36.0,9.64,Чертаново Южное,Варшавское шоссе,Пражская,37.602386,55.610962
Застройщик,19,19,1,34.2,9.73,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Застройщик,2,32,1,32.1,9.68,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Застройщик,28,33,1,32.6,9.74,Люблино,14.5,Братиславская,37.748415,55.658817
Агент по недвижимости,9,9,1,31.3,9.7,Нагорный,Балаклавский проспект,Чертановская,37.606065,55.640538
Агент по недвижимости,10,17,1,37.0,9.73,Царицыно,Кавказский бульвар,Кантемировская,37.656218,55.636107
Застройщик,2,23,1,41.3,9.71,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Застройщик,2,23,1,41.7,9.68,Отрадное,Сигнальный проезд,Владыкино,37.591944,55.847222
Агент по недвижимости,4,5,1,30.0,9.7,Южное Тушино,Лодочная ,Сходненская,37.44076,55.84926
Агент по недвижимости,17,17,1,38.5,9.8,Ново-Переделкино,Боровское шоссе,Рассказовка,37.3328,55.6324
Застройщик,8,33,1,32.4,9.81,Люблино,14.1,Братиславская,37.748415,55.658817
Застройщик,22,33,1,32.6,9.83,Люблино,14.1,Братиславская,37.748415,55.658817
Застройщик,7,17,1,32.6,9.85,Люблино,14.2,Братиславская,37.748415,55.658817
Застройщик,3,20,1,32.05,9.79,Западное Дегунино,Северный ао,Речной вокзал,82.93827,55.008738
Агент по недвижимости,3,9,1,32.6,9.8,Восточное Измайлово,9-я Парковая ,Первомайская,37.799364,55.794376
Владелец,12,12,1,35.1,9.75,Гольяново,Уральская ,Щёлковская,37.798261,55.809962
Застройщик,21,32,1,35.9,9.95,Митино,Северо-Западный ао,Пятницкое шоссе,37.353108,55.853634
Застройщик,16,30,1,39.5,9.85,Южное Бутово,м. Бунинская аллея,Бунинская аллея,37.515899,55.537977
Застройщик,5,24,1,32.8,9.92,Западное Дегунино,Северный ао,Речной вокзал,82.93827,55.008738
Застройщик,2,20,1,34.09,9.95,Западное Дегунино,Северный ао,Речной вокзал,82.93827,55.008738
Застройщик,2,24,1,33.7,9.91,Западное Дегунино,Северный ао,Речной вокзал,82.93827,55.008738
Риэлтор,3,9,1,32.5,9.9,Дмитровский,Яхромская ,Яхромская,37.545429,55.879904
Агент по недвижимости,13,18,1,36.9,9.9,Марьино,Братиславская ,Братиславская,37.748415,55.658817
Застройщик,6,33,1,34.3,9.93,Люблино,14.1,Братиславская,37.748415,55.658817
Агент по недвижимости,8,17,1,38.1,9.9,Северное Бутово, Грина,Бульвар Дмитрия Донского,37.576856,55.568201
Риэлтор,1,14,1,37.1,9.9,Выхино-Жулебино, Авиаконструктора Миля,Жулебино,37.855833,55.684722
Застройщик,22,33,1,34.6,10.0,Люблино,14.5,Братиславская,37.748415,55.658817
Агент по недвижимости,4,18,1,33.8,8.4,Бирюлево Восточное,6-я Радиальная ,Царицыно,37.669612,55.620982
Агент по недвижимости,7,23,1,38.3,9.0,Южное Бутово,Бартеневская ,Бунинская аллея,37.515899,55.537977
Застройщик,10,21,2,66.8,34.26,Щукино,Щукинская ,Щукинская,37.463241,55.8094
Риэлтор,12,12,2,77.4,34.87,Таганский, Рогожский Вал,Площадь Ильича,37.680726,55.747115
Застройщик,3,27,2,58.0,30.27,Даниловский,Дубининская ,Серпуховская,37.624792,55.726548
Владелец,38,52,2,63.0,36.0,Пресненский,Шмитовский проезд,Шелепиха,37.524067,55.757116
Застройщик,2,14,2,41.49,36.64,Дорогомилово,1-й Можайский тупик,Киевская,37.564132,55.743117
Агент по недвижимости,8,9,2,55.7,40.0,Тверской,1-я Тверская-Ямская ,Белорусская,37.582107,55.777439
Риэлтор,5,17,2,51.1,14.99,Останкинский,Березовая аллея,Ботанический сад,37.637811,55.844597
Агент по недвижимости,30,37,2,69.5,40.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,37.524067,55.757116
Риэлтор,2,5,2,43.1,17.8,Алексеевский,Ярославская ,ВДНХ,37.640751,55.819626
Застройщик,3,26,2,64.4,26.82,Филевский парк,Береговой проезд,Народное Ополчение,37.485071,55.775697
Владелец,21,26,2,87.0,37.0,Хорошевский,проезд Березовой Рощи,ЦСКА,37.533301,55.786602
Агент по недвижимости,3,25,2,43.2,18.5,Филевский парк,Береговой проезд,Фили,37.514035,55.746763
Агент по недвижимости,25,33,2,68.2,36.0,Хорошево-Мневники,Причальный проезд,Шелепиха,37.524067,55.757116
Застройщик,37,54,2,55.42,27.02,Савеловский,2-я Хуторская ,Дмитровская,37.581734,55.808056
Агент по недвижимости,24,24,2,57.4,39.3,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,37.524067,55.757116
Застройщик,23,42,2,41.6,25.71,Котловка,Севастопольский проспект,Нагорная,37.610397,55.672962
Агент по недвижимости,4,17,2,44.5,40.0,Пресненский,Звенигородское шоссе,Улица 1905 года,37.562271,55.763944
Застройщик,7,30,2,36.6,17.26,Щукино,проезд 4-й Красногорский,Стрешнево,37.476699,55.814204
Агент по недвижимости,7,11,2,46.3,23.99,Хорошево-Мневники, Нижние Мневники,Терехово ,37.459738,55.748108
Застройщик,3,54,2,59.94,29.5,Хорошево-Мневники, Мневники,Полежаевская,37.517895,55.777201
Владелец,2,21,2,46.0,23.5,Хорошевский, Зорге,Зорге,37.504444,55.787778
Застройщик,2,24,2,69.7,28.94,Нагатинский затон,проспект Андропова,Технопарк,37.664167,55.695
Агент по недвижимости,5,6,2,43.0,28.0,Беговой, 3-я Ямского Поля,Белорусская,37.582107,55.777439
Агент по недвижимости,11,24,2,46.5,21.9,Головинский,Головинское шоссе,Водный стадион,37.487515,55.838978
Застройщик,11,14,2,68.6,38.35,Раменки,проспект Генерала Дорохова,Ломоносовский проспект,37.516063,55.70706
Неизвестно,38,51,2,63.0,36.0,Пресненский,Шмитовский проезд,Шелепиха,37.524067,55.757116
Застройщик,4,21,2,47.9,15.47,Очаково-Матвеевское,Аминьевское шоссе,Давыдково,37.45177,55.71517
Агент по недвижимости,11,41,2,67.1,33.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,37.524067,55.757116
Застройщик,4,16,2,57.31,25.16,Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь,37.713582,55.796322
Застройщик,4,10,2,60.1,29.49,Покровское-Стрешнево,Северо-Западный ао,Спартак,37.4352,55.8182
Агент по недвижимости,6,7,2,57.0,33.7,Замоскворечье, Павла Андреева,Шаболовская,37.607892,55.718828
Застройщик,6,28,2,59.22,29.32,Нагатино-Садовники,Нагатинская ,Нагатинская,37.620917,55.682099
Агент по недвижимости,9,9,2,50.0,30.0,Хамовники,3-я Фрунзенская ,Спортивная,37.562041,55.722388
Застройщик,33,41,2,75.2,38.35,Филевский парк,Багратионовский проезд,Фили,37.514035,55.746763
Агент по недвижимости,7,22,2,75.0,40.0,Раменки,Минская ,Ломоносовский проспект,37.516063,55.70706
Застройщик,5,34,2,59.1,23.7,Левобережный,Ленинградское шоссе,Беломорская,37.475692,55.865369
Риэлтор,3,31,2,54.0,23.6,Хорошево-Мневники,Карамышевская набережная,Народное Ополчение,37.485071,55.775697
Застройщик,4,15,2,76.6,34.95,Останкинский,проспект Мира,Алексеевская,37.638699,55.807794
Риэлтор,10,12,2,64.5,20.99,Соколиная гора,Щербаковская ,Семёновская,37.719289,55.783096
Застройщик,2,21,2,59.52,27.57,Марфино, Академика Королева,Телецентр,37.608975,55.821795
Застройщик,15,27,2,71.9,30.34,Басманный, Фридриха Энгельса,Бауманская,37.67904,55.772405
Агент по недвижимости,9,30,2,49.0,27.0,Хорошево-Мневники,Шелепихинская набережная,Хорошёвская,37.520797,55.776862
Застройщик,4,22,2,47.2,24.68,Марьина роща,Полковая ,Савёловская,37.587163,55.794054
Агент по недвижимости,4,8,2,60.1,25.5,Савеловский, Верхняя Масловка,Петровский Парк,37.557322,55.791957
Застройщик,7,13,2,63.7,35.12,Даниловский,Подольское шоссе,Тульская,37.622569,55.70961
Агент по недвижимости,1,8,2,55.9,16.0,Нагорный,Чонгарский бульвар,Варшавская,37.619711,55.653406
Застройщик,16,17,2,40.2,25.45,Раменки,Мичуринский проспект,Раменки,37.498725,55.697691
Риэлтор,5,12,2,52.0,31.95,Мещанский,переулок Васнецова,Цветной бульвар,37.620466,55.771653
Агент по недвижимости,8,9,2,55.7,40.0,Тверской,1-я Тверская-Ямская ,Белорусская,37.582107,55.777439
Застройщик,5,18,2,48.5,33.17,Донской,2-й Донской проезд,Ленинский проспект,37.58499,55.70678
Риэлтор,9,9,2,45.6,14.6,Чертаново Северное,Сумская ,Южная,37.609047,55.622436
Застройщик,10,21,2,67.62,37.68,Беговой, 1-я Ямского Поля,Белорусская,37.582107,55.777439
Риэлтор,9,30,2,49.8,27.0,Хорошево-Мневники,Шелепихинская набережная,Хорошёвская,37.520797,55.776862
Застройщик,28,32,2,78.1,33.75,Черемушки,Херсонская ,Зюзино,37.57369,55.655717
Риэлтор,9,9,2,49.0,37.0,Арбат,Смоленская ,Смоленская,37.583802,55.747713
Застройщик,8,75,2,64.0,30.52,Донской,5-й Донской проезд,Площадь Гагарина,37.585833,55.706944
Риэлтор,23,29,2,57.7,37.7,Филевский парк,Береговой проезд,Фили,37.514035,55.746763
Застройщик,2,23,2,44.1,20.2,Очаково-Матвеевское,Мичуринский проспект,Озёрная,37.4495,55.6698
Агент по недвижимости,2,15,2,74.0,39.0,Аэропорт,Ленинградский проспект,Динамо,37.558212,55.789704
Застройщик,15,27,2,48.3,19.51,Щукино, Берзарина,Щукинская,37.463241,55.8094
Агент по недвижимости,8,12,2,46.8,13.5,Котловка,Нагорная ,Нагорная,37.610397,55.672962
Риэлтор,16,22,2,55.4,21.5,Хорошевский,1-я Магистральная ,Хорошёвская,37.520797,55.776862
Риэлтор,8,9,2,47.0,16.05,Коньково,Миклухо-Маклая ,Беляево,37.526115,55.642357
Агент по недвижимости,5,15,2,57.4,33.0,Якиманка, Шаболовка,Шаболовская,37.607892,55.718828
Застройщик,2,39,2,60.57,21.98,Западное Дегунино,Северный ао,Селигерская,37.547117,55.866556
Риэлтор,2,9,2,45.8,16.6,Коньково, Академика Волгина,Беляево,37.526115,55.642357
Застройщик,2,15,2,38.0,13.61,Головинский,Северный ао,Коптево,37.520037,55.839637
Агент по недвижимости,3,29,2,57.0,32.2,Хорошево-Мневники,Шелепихинская набережная,Хорошёвская,37.520797,55.776862
Владелец,10,15,2,52.5,14.0,Царицыно,Пролетарский проспект,Кантемировская,37.656218,55.636107
Риэлтор,3,8,2,59.7,18.6,Нагатино-Садовники,Каширское шоссе,Каширская,37.647639,55.654462
Застройщик,2,19,2,62.8,24.67,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,37.553316,55.805483
Агент по недвижимости,4,13,2,63.7,33.0,Даниловский,Подольское шоссе,Тульская,37.622569,55.70961
Агент по недвижимости,8,9,2,55.7,40.0,Тверской,1-я Тверская-Ямская ,Белорусская,37.582107,55.777439
Застройщик,34,46,2,58.5,39.5,Дорогомилово,Кутузовский проезд,Фили,37.514035,55.746763
Агент по недвижимости,9,16,2,54.0,15.3,Тропарево-Никулино, Мичуринский проспект Олимпийская деревня,Озёрная,37.4495,55.6698
Застройщик,2,44,2,63.74,30.12,Марьина роща, 4-я Марьиной рощи,Марьина Роща,37.61618,55.793723
Агент по недвижимости,2,15,2,74.0,39.0,Аэропорт,Ленинградский проспект,Динамо,37.558212,55.789704
Застройщик,13,30,2,38.2,12.26,Рязанский,Рязанский проспект,Окская,37.781272,55.718623
Агент по недвижимости,4,19,2,43.5,23.82,Хорошево-Мневники,проспект Маршала Жукова,Народное Ополчение,37.485071,55.775697
Агент по недвижимости,28,58,2,52.0,33.2,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,37.485071,55.775697
Застройщик,3,6,2,44.0,23.23,Хорошево-Мневники, Саляма Адиля,Народное Ополчение,37.485071,55.775697
Агент по недвижимости,30,41,2,49.0,25.7,Раменки,1-й Сетуньский проезд,Кутузовская,37.5341,55.740544
Риэлтор,4,9,2,45.0,14.9,Чертаново Центральное, Красного Маяка,Пражская,37.602386,55.610962
Неизвестно,7,9,2,43.1,18.5,Нагатинский затон,Кленовый бульвар,Коломенская,37.663719,55.677423
Агент по недвижимости,3,20,2,64.0,38.0,Беговой,Бумажный проезд,Белорусская,37.582107,55.777439
Владелец,4,9,2,37.1,13.49,Кузьминки,Зеленодольская ,Кузьминки,37.763295,55.705493
Застройщик,2,48,2,52.6,18.38,Покровское-Стрешнево,Вишневая ,Тушинская,37.437024,55.825479
Агент по недвижимости,5,5,2,44.9,19.99,Басманный,Сыромятнический проезд,Чкаловская,37.659293,55.755951
Риэлтор,8,9,2,38.0,14.5,Текстильщики,Саратовская ,Текстильщики,37.728406,55.707725
Титулованный застройщик,4,15,2,45.8,26.99,Раменки,Винницкая ,Раменки,37.498725,55.697691
Риэлтор,30,30,2,56.7,23.25,Можайский, Петра Алексеева,Давыдково,37.45177,55.71517
Риэлтор,15,16,2,55.0,17.69,Чертаново Центральное,Варшавское шоссе,Пражская,37.602386,55.610962
Агент по недвижимости,20,22,2,38.4,15.0,Южное Тушино,бульвар Яна Райниса,Сходненская,37.44076,55.84926
Застройщик,20,26,2,57.8,16.36,Чертаново Южное,Варшавское шоссе,Лесопарковая,37.577816,55.581656
Агент по недвижимости,10,12,2,44.0,10.8,Дмитровский,Клязьминская ,Грачёвская,37.509167,55.869444
Застройщик,11,29,2,55.8,20.12,Южнопортовый,Волгоградский проспект,Дубровка,37.676259,55.71807
Владелец,7,17,2,53.1,18.25,Нагатино-Садовники,Нагатинский бульвар,Коломенская,37.663719,55.677423
Застройщик,2,21,2,44.0,12.32,Нижегородский,Автомобильный проезд,Калитники,37.701969,55.734146
Агент по недвижимости,2,9,2,44.4,12.0,Новогиреево, Алексея Дикого,Новогиреево,37.814587,55.752237
Застройщик,3,19,2,59.6,29.62,Щукино, Ротмистрова,Октябрьское поле,37.493317,55.793581
Агент по недвижимости,9,16,2,39.4,15.1,Гагаринский, Вавилова,Ленинский проспект,37.58499,55.70678
Застройщик,4,20,2,42.44,22.26,Даниловский,Автозаводская ,Тульская,37.622569,55.70961
Агент по недвижимости,12,12,2,52.0,12.5,Орехово-Борисово Южное,Ясеневая ,Зябликово,37.745278,55.611944
Застройщик,16,21,2,56.29,26.83,Хорошевский, Зорге,Зорге,37.504444,55.787778
Агент по недвижимости,8,27,2,56.1,23.3,Лефортово, Крузенштерна,Авиамоторная,37.717444,55.751933
Застройщик,2,48,2,56.51,18.41,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,37.398967,55.833137
Агент по недвижимости,2,8,2,55.1,18.0,Академический, Вавилова,Ленинский проспект,37.58499,55.70678
Застройщик,2,16,2,55.54,21.29,Даниловский,Автозаводская ,Тульская,37.622569,55.70961
Агент по недвижимости,2,9,2,37.0,9.25,Солнцево, 50 лет Октября,Говорово,37.4174,55.6588
Агент по недвижимости,10,12,2,40.0,13.5,Можайский, Красных Зорь,Рабочий посёлок,37.417877,55.726918
Застройщик,2,35,2,43.1,17.14,Левобережный,Фестивальная ,Речной вокзал,82.93827,55.008738
Агент по недвижимости,5,8,2,54.5,20.0,Академический,Профсоюзная ,Профсоюзная,37.562595,55.677671
Застройщик,2,29,2,45.7,14.19,Черемушки, Наметкина,Новые Черёмушки,37.554493,55.670077
Застройщик,2,41,2,48.5,33.76,Хорошевский,Ленинградский проспект,Петровский Парк,37.557322,55.791957
Агент по недвижимости,2,17,2,57.8,16.5,Отрадное, Декабристов,Отрадное,37.605066,55.864273
Застройщик,5,29,2,64.8,27.92,Аэропорт,Часовая ,Сокол,37.515245,55.805564
Риэлтор,15,25,2,40.7,18.2,Печатники,Южнопортовая ,Печатники,37.728338,55.692921
Застройщик,8,52,2,53.8,21.82,Раменки,проспект Генерала Дорохова,Раменки,37.498725,55.697691
Застройщик,20,30,2,38.4,10.04,Южное Бутово,м. Бунинская аллея,Бунинская аллея,37.515899,55.537977
Застройщик,3,16,2,30.97,17.36,Хорошево-Мневники, Берзарина,Октябрьское поле,37.493317,55.793581
Риэлтор,29,34,2,42.5,12.65,Южное Бутово, Поляны,Улица Скобелевская,37.552721,55.548103
Агент по недвижимости,6,9,2,45.0,13.3,Хорошево-Мневники,проспект Маршала Жукова,Народное Ополчение,37.485071,55.775697
Агент по недвижимости,6,12,2,52.2,14.5,Алтуфьевский,Алтуфьевское шоссе,Бибирево,37.603011,55.883868
Риэлтор,2,9,2,46.0,15.9,Северное Медведково,Студеный проезд,Медведково,37.661562,55.888103
Застройщик,15,25,2,32.71,12.11,Соколиная гора,Окружной проезд,Измайлово,37.742778,55.788611
Застройщик,2,16,2,42.8,22.38,Сокол, Зорге,Зорге,37.504444,55.787778
Застройщик,31,43,2,66.78,31.58,Савеловский,2-я Хуторская ,Дмитровская,37.581734,55.808056
Агент по недвижимости,10,14,2,44.0,33.5,Раменки,проспект Генерала Дорохова,Минская,37.497872,55.723947
Риэлтор,2,8,2,42.3,20.4,Аэропорт,Ленинградский проспект,Сокол,37.515245,55.805564
Риэлтор,6,24,2,61.4,28.0,Сокол, Алабяна,Панфиловская,37.498889,55.799167
Агент по недвижимости,7,46,2,60.0,22.0,Обручевский, Академика Волгина,Калужская,37.540075,55.656682
Застройщик,11,19,2,72.9,38.19,Покровское-Стрешнево,Северо-Западный ао,Спартак,37.4352,55.8182
Агент по недвижимости,4,20,2,74.1,31.0,Нагатино-Садовники,Варшавское шоссе,Нагатинская,37.620917,55.682099
Застройщик,6,6,2,57.1,33.72,Нагатинский затон,проспект Андропова,Технопарк,37.664167,55.695
Агент по недвижимости,1,5,2,45.8,11.0,Фили-Давыдково,Кутузовский проспект,Кунцевская,37.445985,55.728707
Застройщик,18,24,2,73.6,37.56,Нагатинский затон,проспект Андропова,Технопарк,37.664167,55.695
Агент по недвижимости,9,9,2,56.3,19.39,Филевский парк,Новозаводская ,Фили,37.514035,55.746763
Застройщик,7,43,2,57.89,28.76,Савеловский,2-я Хуторская ,Дмитровская,37.581734,55.808056
Агент по недвижимости,23,38,2,64.7,24.9,Ростокино,проспект Мира,Ростокино,37.667778,55.839444
Агент по недвижимости,14,24,2,73.7,35.0,Нагатинский затон,проспект Андропова,Технопарк,37.664167,55.695
Застройщик,18,75,2,72.99,35.73,Донской,5-й Донской проезд,Площадь Гагарина,37.585833,55.706944
Агент по недвижимости,4,21,2,71.8,29.85,Щукино,Щукинская ,Щукинская,37.463241,55.8094
Агент по недвижимости,2,34,2,62.7,29.0,Хорошево-Мневники,Шелепихинская набережная,Шелепиха,37.524067,55.757116
Застройщик,2,16,2,46.8,23.87,Даниловский, Серпуховский Вал,Тульская,37.622569,55.70961
Риэлтор,6,9,2,40.0,15.99,Тимирязевский,Дмитровское шоссе,Тимирязевская,37.574498,55.81866
Риэлтор,17,21,2,87.5,37.0,Алексеевский,Новоалексеевская ,Алексеевская,37.638699,55.807794
