author_type,floor,floors_count,rooms_count,total_meters,price,district,street,underground,lons,lats
Застройщик,2,15,1,28.3,10.54,Головинский,Северный ао,Коптево,37.520037,55.839637
Агент по недвижимости,13,15,1,35.4,17.6,Даниловский, Родченко,ЗИЛ,37.648333,55.698333
Риэлтор,7,24,1,37.0,14.35,Обручевский, Обручева,Новаторская,37.52218,55.669823
Застройщик,8,25,1,23.9,13.13,Савеловский,Старый Петровско-Разумовский проезд,Гражданская,37.553316,55.805483
Агент по недвижимости,16,39,1,47.6,25.0,Раменки, Лобачевского,Аминьевская,37.464931,55.697189
Агент по недвижимости,11,16,1,44.9,17.48,Басманный,Рубцовская набережная,Электрозаводская,37.7053,55.782057
Застройщик,2,46,1,42.5,26.74,Дорогомилово,Кутузовский проезд,Фили,37.514035,55.746763
Агент по недвижимости,3,15,1,37.5,30.0,Аэропорт,Ленинградский проспект,Динамо,37.558212,55.789704
Застройщик,3,55,1,42.12,21.55,Марьина роща, 4-я Марьиной рощи,Марьина Роща,37.61618,55.793723
Агент по недвижимости,11,15,1,36.7,17.5,Даниловский, Родченко,ЗИЛ,37.648333,55.698333
Застройщик,2,14,1,31.0,10.75,Рязанский,Рязанский проспект,Окская,37.781272,55.718623
Агент по недвижимости,5,21,1,48.4,22.8,Щукино,Щукинская ,Щукинская,37.463241,55.8094
Застройщик,2,6,1,39.0,19.5,Хорошево-Мневники, Саляма Адиля,Народное Ополчение,37.485071,55.775697
Риэлтор,3,12,1,34.0,12.95,Коньково, Академика Арцимовича,Беляево,37.526115,55.642357
Владелец,15,16,1,25.8,14.4,Проспект Вернадского,проспект Вернадского,Проспект Вернадского,37.504584,55.676549
Агент по недвижимости,8,16,1,56.1,28.0,Таганский,переулок Большой Симоновский,Пролетарская,37.666917,55.731546
Агент по недвижимости,6,22,1,50.5,29.0,Покровское-Стрешнево,Северо-Западный ао,Спартак,37.4352,55.8182
Риэлтор,4,9,1,26.8,6.18,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,2,48,1,33.9,13.51,Покровское-Стрешнево,Вишневая ,Тушинская,37.437024,55.825479
Риэлтор,1,9,1,29.8,6.37,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Риэлтор,6,9,1,26.9,6.51,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Титулованный застройщик,6,15,1,40.5,23.98,Раменки,Винницкая ,Раменки,37.498725,55.697691
Риэлтор,5,9,1,29.5,6.69,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Риэлтор,1,9,1,34.9,6.85,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Риэлтор,3,9,1,30.3,6.82,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,11,26,1,35.0,12.95,Чертаново Южное,Варшавское шоссе,Лесопарковая,37.577816,55.581656
Риэлтор,9,9,1,35.1,7.22,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,7,8,1,48.3,35.11,Гагаринский,м. Ленинский проспект,Ленинский проспект,37.58499,55.70678
Агент по недвижимости,30,32,1,43.8,16.95,Бутырский, Руставели,Бутырская,37.602778,55.813333
Застройщик,3,29,1,40.1,13.21,Южнопортовый,Волгоградский проспект,Волгоградский проспект,37.685197,55.725546
Застройщик,8,21,1,30.0,9.85,Нижегородский,Автомобильный проезд,Калитники,37.701969,55.734146
Риэлтор,8,9,1,37.0,9.22,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,14,19,1,29.0,19.46,Щукино, Ротмистрова,Октябрьское поле,37.493317,55.793581
Риэлтор,4,9,1,36.1,9.12,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,20,20,1,39.09,19.61,Даниловский,Автозаводская ,Тульская,37.622569,55.70961
Риэлтор,5,9,1,36.1,9.12,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Риэлтор,7,9,1,36.9,9.22,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,8,17,1,69.3,38.92,Филевский парк, Василисы Кожиной,Филёвский парк,37.483902,55.739665
Риэлтор,9,9,1,36.5,9.22,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,2,48,1,41.84,13.58,Покровское-Стрешнево,Волоколамское шоссе,Трикотажная,37.398967,55.833137
Риэлтор,4,9,1,36.0,9.12,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Застройщик,2,10,1,38.19,15.81,Даниловский,Автозаводская ,Тульская,37.622569,55.70961
Риэлтор,9,9,1,35.9,9.07,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Риэлтор,7,9,1,36.3,9.22,Люблино, Верхние Поля,Братиславская,37.748415,55.658817
Агент по недвижимости,6,12,1,41.15,13.4,Нагатинский затон,Коломенская ,Кленовый бульвар,37.681568,55.674692
Застройщик,11,29,1,30.1,12.34,Черемушки, Наметкина,Новые Черёмушки,37.554493,55.670077
Агент по недвижимости,2,9,1,33.6,15.5,Мещанский,Трифоновская ,Рижская,37.636114,55.792494
Застройщик,11,41,1,40.2,33.37,Хорошевский,Ленинградский проспект,Аэропорт,37.530477,55.800441
Агент по недвижимости,4,4,1,39.9,11.7,Южное Тушино,Окружная ,Трикотажная,37.398967,55.833137
Агент по недвижимости,6,16,1,34.8,13.1,Дмитровский,Дмитровское шоссе,Яхромская,37.545429,55.879904
Застройщик,2,29,1,38.4,16.7,Аэропорт,Часовая ,Сокол,37.515245,55.805564
Агент по недвижимости,6,14,1,27.0,14.8,Раменки,проспект Генерала Дорохова,Минская,37.497872,55.723947
Риэлтор,6,15,1,45.0,36.8,Беговой, 1-я Ямского Поля,Белорусская,37.582107,55.777439
Владелец,22,24,1,42.7,19.5,Даниловский,Автозаводская ,ЗИЛ,37.648333,55.698333
Застройщик,13,30,1,33.2,9.15,Южное Бутово,м. Бунинская аллея,Бунинская аллея,37.515899,55.537977
Агент по недвижимости,8,17,1,36.2,27.0,Тверской,Садовая-Триумфальная ,Маяковская,37.596192,55.769808
Агент по недвижимости,5,13,1,45.2,25.5,Хорошево-Мневники,Жилой комплекс остров,Терехово ,37.459738,55.748108
Риэлтор,8,9,1,35.0,12.6,Коньково,Миклухо-Маклая ,Беляево,37.526115,55.642357
Агент по недвижимости,6,18,1,40.9,17.4,Академический,Новочеремушкинская ,Профсоюзная,37.562595,55.677671
Застройщик,6,9,1,37.04,10.8,Косино-Ухтомский, Николая Старостина,Реутов,37.855833,55.751389
Агент по недвижимости,16,22,1,14.3,7.45,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Застройщик,3,16,1,36.2,20.37,Сокол, Зорге,Зорге,37.504444,55.787778
Агент по недвижимости,2,9,1,34.1,21.19,Красносельский,переулок Даев,Сухаревская,37.63285,55.772315
Агент по недвижимости,18,42,1,40.7,26.5,Хорошевский,Ленинградский проспект,Аэропорт,37.530477,55.800441
Риэлтор,21,25,1,33.5,11.95,Кунцево,№ 100 кв-л,Павшино,37.341439,55.815175
Агент по недвижимости,13,22,1,17.6,8.9,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Застройщик,10,17,1,48.2,24.11,Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь,37.713582,55.796322
Агент по недвижимости,11,20,1,44.0,22.5,Левобережный,Ленинградское шоссе,Беломорская,37.475692,55.865369
Застройщик,13,17,1,42.83,22.78,Преображенское,Жилой комплекс Преображенская площадь,Преображенская площадь,37.713582,55.796322
Агент по недвижимости,11,22,1,21.3,8.6,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Агент по недвижимости,15,22,1,19.9,8.06,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Застройщик,30,54,1,38.34,20.91,Савеловский,2-я Хуторская ,Дмитровская,37.581734,55.808056
Агент по недвижимости,18,21,1,46.7,18.0,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,37.485071,55.775697
Застройщик,7,34,1,42.1,20.28,Левобережный,Ленинградское шоссе,Беломорская,37.475692,55.865369
Агент по недвижимости,6,22,1,17.3,8.59,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Застройщик,26,75,1,47.71,25.12,Донской,5-й Донской проезд,Площадь Гагарина,37.585833,55.706944
Агент по недвижимости,5,6,1,43.0,28.0,Беговой, 3-я Ямского Поля,Белорусская,37.582107,55.777439
Агент по недвижимости,22,22,1,19.4,8.88,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Застройщик,6,22,1,50.8,28.65,Покровское-Стрешнево,Северо-Западный ао,Спартак,37.4352,55.8182
Агент по недвижимости,13,21,1,49.7,37.6,Басманный, Земляной Вал,Чкаловская,37.659293,55.755951
Застройщик,10,21,1,50.7,26.33,Щукино,Щукинская ,Щукинская,37.463241,55.8094
Агент по недвижимости,18,48,1,42.4,19.9,Хорошево-Мневники, Народного Ополчения,Народное Ополчение,37.485071,55.775697
Застройщик,38,57,1,45.7,20.41,Левобережный,Ленинградское шоссе,Беломорская,37.475692,55.865369
Агент по недвижимости,2,2,1,29.3,9.85,Текстильщики,Грайвороновская ,Текстильщики,37.728406,55.707725
Застройщик,9,22,1,52.7,34.23,Покровское-Стрешнево,Северо-Западный ао,Спартак,37.4352,55.8182
Агент по недвижимости,15,22,1,20.3,9.24,Тропарево-Никулино,Ленинский проспект,Юго-Западная,37.482852,55.663146
Агент по недвижимости,12,23,1,46.2,21.9,Хорошево-Мневники,Жилой комплекс остров,Терехово ,37.459738,55.748108
Застройщик,5,14,1,35.58,35.86,Дорогомилово,1-й Можайский тупик,Киевская,37.564132,55.743117
Агент по недвижимости,5,13,1,34.0,17.5,Даниловский,Подольское шоссе,Тульская,37.622569,55.70961
Застройщик,17,18,1,43.7,27.39,Филевский парк,Береговой проезд,Народное Ополчение,37.485071,55.775697
Агент по недвижимости,4,15,1,32.1,18.0,Хорошевский,Ходынский бульвар,ЦСКА,37.533301,55.786602
Застройщик,3,22,1,32.1,16.57,Марьина роща,Полковая ,Савёловская,37.587163,55.794054
Агент по недвижимости,15,21,1,36.5,16.5,Головинский,Кронштадтский бульвар,Водный стадион,37.487515,55.838978
Застройщик,13,36,1,44.1,33.22,Беговой,Ленинградский проспект,Белорусская,37.582107,55.777439
Владелец,24,24,1,42.0,12.2,Северное Бутово, Грина,Бульвар Дмитрия Донского,37.576856,55.568201
Агент по недвижимости,4,15,1,30.2,17.5,Хорошевский,Ходынский бульвар,ЦСКА,37.533301,55.786602
Агент по недвижимости,7,11,1,39.8,24.95,Басманный, Казакова,Курская,37.659039,55.758564
Застройщик,13,16,1,44.9,28.18,Филевский парк,Береговой проезд,Народное Ополчение,37.485071,55.775697
Риэлтор,13,14,1,38.7,18.2,Таганский,переулок Ковров,Москва-Товарная,37.688306,55.745656
Агент по недвижимости,8,16,1,29.2,15.18,Хорошево-Мневники, Нижние Мневники,Мнёвники,37.47139,55.761148
Застройщик,24,37,1,47.3,33.95,Беговой,Ленинградский проспект,Белорусская,37.582107,55.777439
Агент по недвижимости,3,14,1,38.8,16.5,Даниловский,проспект Лихачева,ЗИЛ,37.648333,55.698333
Застройщик,9,18,1,42.8,23.16,Филевский парк,Береговой проезд,Народное Ополчение,37.485071,55.775697
Агент по недвижимости,9,20,1,42.8,19.5,Аэропорт,Часовая ,Красный Балтиец,37.526618,55.815478
Застройщик,3,22,1,52.6,33.51,Покровское-Стрешнево,Северо-Западный ао,Спартак,37.4352,55.8182
Агент по недвижимости,4,13,1,43.6,37.0,Пресненский, Сергея Макеева,Улица 1905 года,37.562271,55.763944
Застройщик,36,41,1,38.7,25.51,Даниловский,Дубининская ,Павелецкая,37.638693,55.729741
Риэлтор,2,17,1,36.0,15.95,Академический, Дмитрия Ульянова,Академическая,37.5723,55.687147
Риэлтор,5,26,1,41.7,18.49,Лефортово,Красноказарменная ,Авиамоторная,37.717444,55.751933
Застройщик,50,54,1,54.96,29.23,Хорошево-Мневники, Мневники,Полежаевская,37.517895,55.777201
Застройщик,13,23,1,42.9,20.79,Очаково-Матвеевское,Очаково мкр,Озёрная,37.4495,55.6698
Агент по недвижимости,1,16,1,43.9,14.5,Ховрино, Лавочкина,Речной вокзал,82.93827,55.008738
Риэлтор,4,4,1,44.0,11.95,Соколиная гора,Щербаковская ,Измайлово,37.742778,55.788611
Застройщик,2,23,1,41.6,18.82,Очаково-Матвеевское,Очаково мкр,Озёрная,37.4495,55.6698
Агент по недвижимости,6,14,1,40.0,21.5,Тверской,3-й Самотечный переулок,Достоевская,37.613889,55.781667
Застройщик,19,28,1,41.09,23.38,Нагатино-Садовники,Нагатинская ,Нагатинская,37.620917,55.682099
Агент по недвижимости,5,9,1,33.1,10.19,Восточное Дегунино,Дубнинская ,Дегунино,37.573232,55.865576
Агент по недвижимости,7,9,1,32.5,8.6,Орехово-Борисово Южное,Шипиловский проезд,Домодедовская,37.717111,55.610131
Застройщик,12,13,1,43.2,27.29,Даниловский,Подольское шоссе,Тульская,37.622569,55.70961
Риэлтор,7,17,1,37.5,10.45,Братеево, Борисовские Пруды,Борисово,37.743333,55.6325
Застройщик,27,28,1,46.7,23.86,Нагатино-Садовники,Нагатинская ,Нагатинская,37.620917,55.682099
Агент по недвижимости,12,14,1,39.3,11.9,Перово,1-я Владимирская ,Перово,37.78422,55.75098
Застройщик,15,15,1,36.7,24.8,Останкинский,проспект Мира,Алексеевская,37.638699,55.807794
Агент по недвижимости,6,14,1,40.0,21.5,Тверской,3-й Самотечный переулок,Достоевская,37.613889,55.781667
Застройщик,15,15,1,36.4,24.5,Останкинский,проспект Мира,Алексеевская,37.638699,55.807794
Застройщик,44,53,1,40.7,15.79,Покровское-Стрешнево,Северо-Западный ао,Трикотажная,37.398967,55.833137
